idKegg	name
C00001	H2O
C00001	Water
C00002	ATP
C00002	Adenosine 5'-triphosphate
C00003	NAD+
C00003	NAD
C00003	Nicotinamide adenine dinucleotide
C00003	DPN
C00003	Diphosphopyridine nucleotide
C00003	Nadide
C00003	beta-NAD+
C00004	NADH
C00004	DPNH
C00004	Reduced nicotinamide adenine dinucleotide
C00005	NADPH
C00005	TPNH
C00005	Reduced nicotinamide adenine dinucleotide phosphate
C00006	NADP+
C00006	NADP
C00006	Nicotinamide adenine dinucleotide phosphate
C00006	beta-Nicotinamide adenine dinucleotide phosphate
C00006	TPN
C00006	Triphosphopyridine nucleotide
C00006	beta-NADP+
C00007	Oxygen
C00007	O2
C00008	ADP
C00008	Adenosine 5'-diphosphate
C00009	Orthophosphate
C00009	Phosphate
C00009	Phosphoric acid
C00009	Orthophosphoric acid
C00010	CoA
C00010	Coenzyme A
C00010	CoA-SH
C00011	CO2
C00011	Carbon dioxide
C00012	Peptide
C00013	Diphosphate
C00013	Diphosphoric acid
C00013	Pyrophosphate
C00013	Pyrophosphoric acid
C00013	PPi
C00014	Ammonia
C00014	NH3
C00015	UDP
C00015	Uridine 5'-diphosphate
C00016	FAD
C00016	Flavin adenine dinucleotide
C00017	Protein
C00018	Pyridoxal phosphate
C00018	Pyridoxal 5'-phosphate
C00018	Pyridoxal 5-phosphate
C00018	PLP
C00019	S-Adenosyl-L-methionine
C00019	S-Adenosylmethionine
C00019	AdoMet
C00019	SAM
C00020	AMP
C00020	Adenosine 5'-monophosphate
C00020	Adenylic acid
C00020	Adenylate
C00020	5'-AMP
C00020	5'-Adenylic acid
C00020	5'-Adenosine monophosphate
C00020	Adenosine 5'-phosphate
C00021	S-Adenosyl-L-homocysteine
C00021	S-Adenosylhomocysteine
C00022	Pyruvate
C00022	Pyruvic acid
C00022	2-Oxopropanoate
C00022	2-Oxopropanoic acid
C00022	Pyroracemic acid
C00024	Acetyl-CoA
C00024	Acetyl coenzyme A
C00025	L-Glutamate
C00025	L-Glutamic acid
C00025	L-Glutaminic acid
C00025	Glutamate
C00026	2-Oxoglutarate
C00026	Oxoglutaric acid
C00026	2-Ketoglutaric acid
C00026	alpha-Ketoglutaric acid
C00027	Hydrogen peroxide
C00027	H2O2
C00027	Oxydol
C00028	Acceptor
C00028	Hydrogen-acceptor
C00028	A
C00028	Oxidized donor
C00029	UDP-glucose
C00029	UDPglucose
C00029	UDP-D-glucose
C00029	Uridine diphosphate glucose
C00029	UDP-alpha-D-glucose
C00030	Reduced acceptor
C00030	AH2
C00030	Hydrogen-donor
C00030	Donor
C00031	D-Glucose
C00031	Grape sugar
C00031	Dextrose
C00031	Glucose
C00031	D-Glucopyranose
C00032	Heme
C00032	Haem
C00032	Protoheme
C00032	Heme B
C00032	Protoheme IX
C00033	Acetate
C00033	Acetic acid
C00033	Ethanoic acid
C00035	GDP
C00035	Guanosine 5'-diphosphate
C00035	Guanosine diphosphate
C00036	Oxaloacetate
C00036	Oxalacetic acid
C00036	Oxaloacetic acid
C00036	2-Oxobutanedioic acid
C00036	2-Oxosuccinic acid
C00036	keto-Oxaloacetate
C00037	Glycine
C00037	Aminoacetic acid
C00037	Gly
C00039	DNA
C00039	DNAn
C00039	DNAn+1
C00039	(Deoxyribonucleotide)n
C00039	(Deoxyribonucleotide)m
C00039	(Deoxyribonucleotide)n+m
C00039	Deoxyribonucleic acid
C00040	Acyl-CoA
C00040	Acyl coenzyme A
C00041	L-Alanine
C00041	L-2-Aminopropionic acid
C00041	L-alpha-Alanine
C00042	Succinate
C00042	Succinic acid
C00042	Butanedionic acid
C00042	Ethylenesuccinic acid
C00043	UDP-N-acetyl-alpha-D-glucosamine
C00043	UDP-N-acetyl-D-glucosamine
C00043	UDP-N-acetylglucosamine
C00044	GTP
C00044	Guanosine 5'-triphosphate
C00045	Amino acid
C00045	Amino acids
C00046	RNA
C00046	RNAn
C00046	RNAn+1
C00046	RNA(linear)
C00046	(Ribonucleotide)n
C00046	(Ribonucleotide)m
C00046	(Ribonucleotide)n+m
C00046	Ribonucleic acid
C00047	L-Lysine
C00047	Lysine acid
C00047	2,6-Diaminohexanoic acid
C00048	Glyoxylate
C00048	Glyoxalate
C00048	Glyoxylic acid
C00049	L-Aspartate
C00049	L-Aspartic acid
C00049	2-Aminosuccinic acid
C00049	L-Asp
C00051	Glutathione
C00051	5-L-Glutamyl-L-cysteinylglycine
C00051	N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine
C00051	gamma-L-Glutamyl-L-cysteinyl-glycine
C00051	GSH
C00051	Reduced glutathione
C00052	UDP-alpha-D-galactose
C00052	UDP-D-galactose
C00052	UDP-galactose
C00052	UDP-D-galactopyranose
C00052	UDP-alpha-D-galactopyranose
C00053	3'-Phosphoadenylyl sulfate
C00053	3'-Phosphoadenosine 5'-phosphosulfate
C00053	3'-Phospho-5'-adenylyl sulfate
C00053	PAPS
C00054	Adenosine 3',5'-bisphosphate
C00054	PAP
C00054	3'-Phosphoadenylate
C00054	Phosphoadenosine phosphate
